,Unnamed: 0,Maximum Phosphorus,Utility1,Utility2,Reliability,n_reliability,C1,R1,W1,C2,R2,W2
32,32,2.3270692236931287,1.2062407115593492,0.3154982230798029,0.1876,0.32544114262828866,"[-0.31287910574966205, -1.6196332149910933, 0.124989102873066]","[1.5960531702065073, 0.5905640625344684, 0.6598373463345892]","[0.0, 0.0, 0.34656212175598977]","[1.4060259233600632, -0.6461793216885434, 0.4919044032037152]","[2.0, 0.0, 0.4048042952996034]","[0.12706873430855403, 0.8141519075876221, 0.0]"
33,33,2.4480243588457107,1.734760888210494,0.7780017205692674,0.03,0.052042826646314815,"[1.8034536332509923, -1.3147247352121951, 1.0537796737244585]","[0.9063998697452704, 0.7940688846801105, 0.7362862333150435]","[0.18766110974204198, 1.0, 0.061621565853987675]","[-0.7109151717421502, -1.894867719858906, 1.5565541534833653]","[0.0, 2.0, 2.0]","[0.33477361138795986, 0.0014055059607284148, 0.07459837306294587]"
34,34,2.5976515101544164,1.4941142222321888,1.6101547810238623,0.08,0.1387808710568395,"[0.6170407248785998, -0.18860872040967536, 0.013376498952793709]","[1.78865612624744, 2.0, 0.5934483195908071]","[0.09878774963798975, 0.3934702920779051, 0.19215407701278264]","[1.6630526340903078, 0.16639567678387568, 0.6600088951929117]","[0.0, 0.11094249004398771, 1.202102916220946]","[0.5690779069253843, 0.43077138882296384, 0.7069968171348534]"
35,35,2.5976515101542508,1.310727194669563,1.353459393451847,0.1545,0.2680205572285213,"[-0.09999883901156725, -0.2072611439639857, -0.7798697691521908]","[1.7848261575858655, 1.5627415011425623, 1.0103777434780297]","[0.0, 0.8103864236020751, 0.0]","[0.30559287235057087, 0.22500873820749576, 0.8755496192900547]","[0.812485617960027, 0.25359178367391344, 1.4673765650960293]","[0.5240258736827665, 0.8674211001487823, 0.2586751295733568]"
36,36,2.5976515101544133,1.43023963666049,1.6124328690932008,0.0875,0.1517915777184182,"[-0.3455165690346118, -0.4413610199094524, 0.124989102873066]","[0.3644381601633404, 0.0, 1.0074740444486978]","[0.0, 0.0, 0.34656212175598977]","[1.251003417754772, 0.10581365877225446, -2.0]","[2.0, 0.45690298423651843, 0.8119031448496314]","[0.34634252220523576, 0.9889352982261833, 0.0]"
37,37,0.2064881105861617,0.2659085015108471,0.2436412138999627,1.0,1.734760888210494,"[0.35027122711851755, 0.7484546393748512, -2.0]","[0.6573119381381232, 1.6570607582611216, 1.2365707346578418]","[1.0, 0.10649427217588214, 0.0]","[0.5523013379031028, -0.3885586310607255, 0.09510994649869708]","[1.2200600274152136, 0.0, 1.2310381653155333]","[0.5118858208727778, 0.39213017740062717, 0.0]"
38,38,2.349706008137233,0.2925275936074715,1.680255775259771,0.06,0.10408565329262963,"[-0.040675422519998054, -1.9141715147983338, -1.4193129092362813]","[0.9233410487332334, 0.0, 1.6635192289492826]","[0.0, 0.517854541189583, 0.0008990166015959838]","[0.5304484351320534, -0.0919099881233687, -2.0]","[1.9295444986796895, 0.37564603080577186, 0.24429016124235858]","[0.0, 0.7797770290927982, 0.0]"
39,39,2.357147274628945,0.3209651265376698,1.680255775259771,0.06,0.10408565329262963,"[-0.040675422519998054, -1.9141715147983338, -1.4779345837364521]","[0.005561215035598532, 0.0, 1.6635192289492826]","[0.0, 0.4895000043912092, 0.0008990166015959838]","[0.5029521768981216, -0.0919099881233687, -2.0]","[1.9295444986796895, 0.37564603080577186, 0.17933909989323438]","[0.0, 0.7697141479847603, 0.0]"
40,40,2.392891113502865,1.4854965102437097,0.6271881811750275,0.0571,0.0990548467168192,"[-0.3455165690346118, -0.5536036707022998, 0.124989102873066]","[0.13112480783167133, 0.0, 1.4029119746201173]","[0.0, 0.0, 0.34656212175598977]","[1.5288841036932928, 1.4090648145528444, -2.0]","[2.0, 0.0, 1.945483167294672]","[0.34634252220523576, 0.4836656139843942, 0.0]"
41,41,2.597651510154421,1.680603257512541,1.5723519887984354,0.0542,0.09402404014100876,"[0.2242450034497323, -0.2072611439639857, 0.22219085734840255]","[0.04357546589595951, 1.5371369473300336, 1.0103777434780297]","[0.4744370609941107, 0.9575284168974867, 0.5994970784232602]","[0.30559287235057087, 0.4374381699854689, -0.3538378966208256]","[1.6450629803059729, 1.6699814224249494, 1.4424190058780515]","[0.5578400337517521, 0.9426375955194644, 0.9575592209926042]"
42,42,2.340106800843965,1.4501206516922096,0.4221421148638914,0.0795,0.13791349061273428,"[-1.1671712320333807, 1.8718866436677195, 0.011538258163771124]","[1.6294632121234558, 0.0, 1.4802398065253264]","[0.0, 0.0, 0.12373482748588771]","[1.5288841036932928, -1.1837091787684288, -0.6119244390011116]","[2.0, 0.0, 1.916678848432561]","[0.34634252220523576, 0.997420097881693, 0.0]"
43,43,2.3270697262265005,1.2514183468619575,0.3113193164579584,0.1719,0.2982053966833839,"[-0.31287910574966205, -1.6196332149910933, 0.124989102873066]","[1.5960531702065073, 0.5905640625344684, 0.6005332873863138]","[0.0, 0.0, 0.16611255371438205]","[1.4060259233600632, -0.6461793216885434, 0.4919044032037152]","[2.0, 0.0, 0.4048042952996034]","[0.12706873430855403, 0.8141519075876221, 0.0]"
44,44,2.3167042271868254,1.734760888210494,0.1879900164693014,0.05,0.0867380444105247,"[-1.9282852277275468, -1.3147247352121951, -2.0]","[1.7590140823216576, 1.1731792187623902, 0.0]","[0.0, 0.998865168837854, 0.061621565853987675]","[0.8963645207539022, -0.9501860431570883, 1.3683182206051479]","[0.0, 1.972891638652669, 2.0]","[0.7599882870593782, 0.0, 0.07459837306294587]"
45,45,2.597651080825268,0.6103852446135164,0.6691273057765162,0.503,0.8725847267698784,"[-0.47977971830052857, -0.29244357342332794, 0.09799601639516053]","[0.868785907589581, 1.9778213917903174, 0.727911609720751]","[0.0, 0.3518383472177151, 0.3258398905238935]","[-0.21436216421761944, -0.783903983424707, 0.6563785769716184]","[1.9450453535223728, 1.9847222357303458, 2.0]","[0.8458890919478866, 0.08818726126847842, 0.492376442617647]"
