,Unnamed: 0,Maximum Phosphorus,Utility1,Utility2,Reliability,n_reliability,C1,R1,W1,C2,R2,W2
1330,1330,2.5976515101518434,1.0908611477525825,1.217754587934492,0.2207,0.382861728028056,"[-0.09226755659053915, -0.2072611439639857, 0.03911567951673223]","[1.7848261575858655, 1.5473864974268978, 1.0411272433599053]","[0.7829991478988882, 0.23147828935732329, 0.6205074451708932]","[0.3052998110609259, 0.19219485349391208, -0.35416766935587607]","[0.547706067895156, 1.6223110383536388, 1.4673765650960293]","[0.5240258736827665, 0.890378187014411, 0.9943097477011064]"
1331,1331,2.5044448491840106,1.570773923941031,1.4169588266303084,0.1072,0.18596636721616494,"[-0.4584916272818598, 0.94956305588156, 0.28509046614779976]","[1.4800349380737763, 0.9086185840863799, 0.14604232215605206]","[0.02640660004966367, 0.0052803199902366205, 0.5308063137031273]","[0.45160101509841377, 1.171338520757994, -0.5747688928246042]","[0.7288030926317735, 0.0, 1.9515685635504385]","[1.0, 0.28616634473298863, 0.03279485862165754]"
1332,1332,2.4573287727748494,0.8251157791195469,1.6430844982355777,0.04,0.06939043552841975,"[1.540527898186093, 1.14693710491726, -1.1321359439900285]","[1.6491660909060555, 0.0, 0.0]","[0.4470630154559946, 0.269791660740193, 0.7023413904040092]","[-0.18577553000972502, -1.2043670648087899, -0.5745594700036947]","[1.4284041614989158, 0.0, 1.7221020357913834]","[0.907745874736356, 0.6434145500923515, 0.8070722662917041]"
1333,1333,2.597651510154415,1.5434614473049788,1.532987493716635,0.0805,0.13964825150094476,"[1.850605408951133, 1.8574909827952428, -0.21031566686696457]","[1.145470235421805, 0.0, 1.2375364568418021]","[0.0, 0.17162785309295725, 0.9998220785534824]","[0.03484841301803038, 0.2373704848175316, -0.3256391025615435]","[1.5894792671609297, 0.19213010288972066, 0.0]","[0.8072568572923471, 0.5707154787775105, 0.09923583643701758]"
1334,1334,2.3167042271840543,1.376985626103871,0.2354289618074455,0.1404,0.24356042870475333,"[0.1162588470852084, -0.08426888624646267, 0.0872916752470283]","[1.0763209848551993, 0.70284075351156, 0.0]","[0.554601309700404, 0.6614629805065964, 0.6928604565180017]","[1.4693232776629848, 0.17057014315328045, 1.8883482594554657]","[1.769390826423377, 0.0, 1.7556784161379728]","[0.03550743371313403, 0.7513245330580557, 0.0040400925689857425]"
1335,1335,2.3167042271843044,1.361080190115033,0.2662881145735756,0.1398,0.24251957217182707,"[0.1162588470852084, -0.04302900933979431, 0.037321661731931854]","[1.0763209848551993, 1.0531450832058369, 0.30740956483895543]","[1.0, 0.6523964624106112, 0.08230360391927155]","[1.4693232776629848, 1.4022815057644322, 1.8883482594554657]","[1.769390826423377, 0.0, 1.5676484420743695]","[0.04422732639101323, 0.7513245330580557, 0.004762236010098925]"
1336,1336,2.5976515101544053,1.592643802223506,1.3654815395079545,0.0931,0.161506238692397,"[0.060537703065677295, -0.18491661805466575, 0.3525608754430827]","[1.3945663144482265, 1.1164153760827404, 0.32717364399491655]","[0.2534803570433811, 0.686902011175653, 0.16114339332559774]","[0.14275913564288045, 1.854193958109664, 0.2957328222155863]","[1.2654985993616874, 0.0, 1.849759356746014]","[0.9224288461230301, 0.4699865683591943, 0.0]"
1337,1337,2.4577164908323303,0.8850444616237065,1.6383498312348963,0.04,0.06939043552841975,"[1.540527898186093, 2.0, -1.1321359439900285]","[1.420872368334686, 1.3342316328286916, 0.0]","[0.3072877444073874, 0.841748701288647, 1.0]","[-0.3255233263753903, 1.2742555648058436, -0.37059321053740074]","[1.3570760428503503, 0.0, 2.0]","[0.9012257715358576, 0.49291228116454944, 0.18092609689885694]"
1338,1338,2.327320007489375,1.1501918254957146,0.3212179729342339,0.2078,0.36048331257014066,"[0.28886884184985656, -0.6341819075167572, 0.1506356334626103]","[1.6678830207340687, 1.173950727326028, 0.6598373463345892]","[0.0, 0.0002970209321457862, 0.34656212175598977]","[1.4060259233600632, -0.6461793216885434, 0.704583068605102]","[2.0, 0.0, 1.997732713737909]","[0.13048394130192853, 0.8311852364110099, 0.0]"
1339,1339,2.59765151015441,1.6005771907175912,1.4141160134268522,0.09,0.15612847993894444,"[0.1162588470852084, 0.7543770268655665, 0.05935483148441367]","[0.14228461676855086, 1.6187388564922136, 1.799342311196669]","[0.2689505204216249, 0.7607064324908294, 0.701007621694222]","[0.0745551468178306, 0.17057014315328045, 0.6779170366355006]","[1.7878899420443175, 0.3897937966756295, 1.4367397146459993]","[0.10758537534085799, 0.005747746354579419, 0.010187274726478623]"
1340,1340,2.3593308174501346,1.5383906852536655,0.3040102270740372,0.11,0.19082369770315433,"[0.32055282028463755, -0.08948977692354904, 0.06336578352089059]","[0.4998090451095787, 0.7912460885383668, 0.5679275930164571]","[0.41096319175149865, 0.9432462345520427, 0.17648180463920285]","[1.1293264205253668, -0.9083234161665215, -0.27286275491573175]","[1.9302527408888075, 0.0, 0.5111876399513825]","[0.09280533756230824, 0.9445897613117276, 0.0]"
1341,1341,2.5976515101543356,1.4000172860025044,1.349719584332871,0.1386,0.24043785910597446,"[-0.1420233517523184, 0.251437468543247, -0.17264323136903137]","[1.1557473096572208, 0.3215638440969666, 1.3212814830836972]","[0.5435685971469341, 0.7607064324908294, 0.6928604565180017]","[0.17327800687707118, 0.15760507931070278, -0.6724343693555968]","[0.9664928320652029, 0.9556351331897239, 1.9021675047607411]","[0.4756450585876496, 0.9878915075819084, 0.38789122838107115]"
1342,1342,2.597651510154236,1.2724199313524471,1.3661189223899315,0.1582,0.27443917251490013,"[0.24124992809500378, 2.0, -1.8713315174846206]","[0.4906147840211814, 1.2060148147618148, 0.0]","[0.8676178438878228, 0.0, 0.37228238467897856]","[-0.5277296762629393, -1.1731654330026862, -0.2614269416184645]","[1.8542755142976346, 0.0, 1.7323228542898768]","[0.6825660912613885, 0.3358710669856858, 0.9085821686936854]"
1343,1343,2.429064657379914,1.6039766337148833,0.6751596492521358,0.05,0.0867380444105247,"[-0.4350082050248266, 0.8856739290754732, -0.11132428482572075]","[0.0, 0.5414049969022001, 0.9597509727618627]","[0.3069512030548641, 0.0, 0.7469257698779752]","[1.3858251213663935, 1.1929139368150032, -0.01301088279377921]","[1.971050400059705, 0.0, 1.2182675057273689]","[0.3806052025074063, 0.8712634860880294, 0.0]"
1344,1344,2.516535162689376,1.608636890610769,1.166534032503087,0.04,0.06939043552841975,"[0.24124992809500378, 1.9119052925880222, 1.0775282514199804]","[0.5011861651747678, 1.2060148147618148, 0.0]","[0.8714985478259091, 0.0, 0.37091752592673943]","[1.8328345495839846, -1.6106779630490733, -0.2641773717396317]","[1.9420360789832565, 0.0, 1.5461117441247696]","[0.6825660912613885, 0.9454988775946869, 0.015580629837249737]"
1345,1345,2.3167042271798226,1.2542249060332953,0.2965197377966823,0.1663,0.28849073570940514,"[0.1162588470852084, -0.08426888624646267, 0.05935483148441367]","[1.0763209848551993, 1.0187924442198575, 0.0]","[1.0, 0.7774647965512707, 0.6928604565180017]","[1.5920926917160303, 0.17057014315328045, 1.8883482594554657]","[1.769390826423377, 0.0, 1.5745714886405602]","[0.04422732639101323, 0.7708338527282326, 0.0040400925689857425]"
1346,1346,2.5976515101147575,1.1113093626120034,0.925951313086389,0.2801,0.48590652478775936,"[0.32879838426477326, 0.2218720251550912, -0.27510299981398534]","[1.3602835072929478, 0.23909362764925324, 1.272001993560468]","[0.9623528667427032, 1.0, 1.0]","[-0.8706252498912534, 0.41291877054958315, -0.5987031845744775]","[0.11693939060971151, 0.0, 1.8374245708584827]","[0.0, 0.2567801761494809, 0.03823558307150765]"
1347,1347,2.5976515101544195,1.5889479978051884,1.5882422984796216,0.07,0.12143326217473459,"[0.07792942670445503, -0.2072611439639857, 0.21668978811549436]","[1.4001276840452184, 0.7902774915563695, 0.37093895308598857]","[0.5396531229433105, 0.2141265656582806, 0.8894270291060447]","[0.31719348610882075, 0.4374381699854689, -0.3538378966208256]","[1.8946507358924227, 0.7163715114816886, 1.396586644325232]","[0.551061794216448, 0.276115689921844, 0.7264570138257173]"
1348,1348,2.5595992433965367,0.360416577416688,0.47880210251265,0.7315,1.2689775897259763,"[-0.09999883901156725, -0.20368718671793834, 0.06446012305654407]","[0.14085040127305629, 1.5627415011425623, 1.9423642419556937]","[0.0, 0.4685667585579187, 0.3844790430349455]","[0.30559287235057087, 0.30372053392638587, -0.3541399093556513]","[0.5600780770119791, 1.2915625394194536, 1.9021540879874337]","[0.5262818114046359, 0.2024103259844423, 0.9636230406045829]"
1349,1349,2.59765151015334,1.1848095318282024,1.2490828489419927,0.1992,0.34556436893153036,"[-1.4945867785480145, 1.8927710275468315, -0.18458025204788675]","[0.9211822143102552, 1.664300925865148, 1.5872429598219557]","[0.0, 0.0, 0.0452497783630369]","[0.41465489698416247, 1.0035727296262644, 0.16545966741477725]","[0.5951006383405516, 1.9089773505294967, 0.4749268924236951]","[0.20295582032291437, 0.08648125257445571, 0.5836335719374381]"
1350,1350,2.3167042271867397,1.651407663258724,0.2097962799853256,0.061,0.10582041418084012,"[1.0134767686482289, -0.24663580834423068, 0.02964713675125602]","[1.2088938266613347, 0.7714629217628826, 0.8790669459216396]","[0.11017720819323829, 0.03670765266571052, 0.7423873771971382]","[1.7329101502153326, 0.9257887925903466, -0.37971223146375277]","[1.8950842945984419, 0.0, 0.9738644145480579]","[0.01977315501909517, 0.4064254715144635, 0.0]"
1351,1351,0.1995918852647878,0.2189326303157518,0.2811309025440592,1.0,1.734760888210494,"[0.5408235203590248, 0.8187232702371744, 0.607613406404452]","[1.9144733070335405, 1.3229420029198127, 1.5227792421769464]","[0.35550804822590576, 0.0, 0.2847975736417049]","[0.41465489698416247, -1.5555792909179815, 0.1003232590265104]","[0.7423558253857008, 0.0, 1.8841050989435268]","[1.0, 0.1581988242235769, 0.6213357961898309]"
1352,1352,1.8954969800498225,0.4007135950047875,0.2818746171219313,0.8765,1.5205179185164979,"[-0.1305250051954609, 0.6581762550222774, 0.3271364019454279]","[1.262207633420634, 1.991027947866119, 0.3371617009608834]","[0.5012169444435071, 0.4885779876863094, 0.30392098012675317]","[0.7629535798749645, 0.3055181788603776, -0.8458684822451276]","[1.077301358022599, 0.4748492102159938, 0.7165171536277573]","[0.0, 0.9124293636216171, 0.0]"
1353,1353,2.5976515101479585,1.099344024676348,1.2900130497720652,0.2106,0.36534064305713004,"[0.1162588470852084, -0.07082755399462187, 0.05935483148441367]","[1.0763209848551993, 1.4163154661930357, 1.4040863969612831]","[0.4306505314083221, 0.48467684075425954, 0.616434268503791]","[1.4693232776629848, 0.21668383744221975, 1.0335433793017703]","[1.769390826423377, 0.14511458213410755, 1.8517532006943243]","[0.04422732639101323, 0.9191246037903888, 0.017309336029619947]"
1354,1354,2.597651510154421,1.702582417033343,1.541554591403173,0.0586,0.10165698804913494,"[0.20993091482049772, 1.2495966579928877, -0.21830622172622238]","[0.521125001495748, 1.6067221099211693, 0.8357772937330397]","[1.0, 0.2099559968069984, 1.0]","[0.037033706723811344, 1.0781336645601005, 0.7246677563021823]","[1.073978131005122, 0.0, 1.6611160347464566]","[1.0, 0.002045120900210029, 0.03958832592575154]"
1355,1355,0.2296812918690092,0.1942637115082305,0.3330601873114528,1.0,1.734760888210494,"[-0.4584916272818598, 1.120197162738963, 0.28509046614779976]","[1.696810184447945, 1.4984914325799428, 0.7340730263612991]","[0.0009427361238287506, 0.0052803199902366205, 0.5421688797185926]","[0.41465489698416247, 1.06603890414214, -0.5747688928246042]","[0.7288030926317735, 0.0, 1.9737326707087917]","[0.9612082553148487, 0.10822241837380586, 0.03279485862165754]"
1356,1356,2.5976515101538435,1.2034561161539323,1.3116752461182954,0.1817,0.31520605338784674,"[-0.313714101510727, 0.8355106358707096, 0.3832339784599819]","[1.9903122497326766, 1.3347846611854288, 0.7604212127395376]","[0.22044545946399385, 0.0, 0.2847975736417049]","[0.243405440401967, 0.3931808463942166, 0.1003232590265104]","[1.514514696304884, 0.41892676483830216, 0.3923288191597125]","[1.0, 0.20992064995995152, 0.48936997898982026]"
1357,1357,2.597651510153307,1.2310814074575005,1.190451922224302,0.2002,0.34729912981974087,"[-0.22356239316081067, 0.6811139265194393, -1.8668092882243645]","[0.7968222816443716, 0.0, 0.0]","[0.3544425679041124, 0.8353992246040864, 0.9553326969653826]","[-0.5276986364158696, 0.19905141030104015, 1.4074383707261156]","[1.7932624206511967, 0.3953278152261744, 0.0]","[0.07865405574171219, 0.9730667333475237, 0.03237479617164973]"
1358,1358,2.435962042271219,1.5553669010035158,0.6419388112062392,0.08,0.1387808710568395,"[0.22898917499970173, 0.005938913470735611, 0.124989102873066]","[0.1733393005428516, 0.0, 1.0074740444486978]","[0.32961900909531483, 0.0, 0.34656212175598977]","[1.3001373488761678, -0.022151761355293953, -2.0]","[2.0, 0.0, 0.8119031448496314]","[0.34634252220523576, 0.9955830454263006, 0.0]"
1359,1359,2.5976515101523097,1.2768427363199977,1.0754994767934667,0.2136,0.3705449257217615,"[1.0997132606958546, 0.2314972317948465, -0.18389352428436723]","[2.0, 0.2895861491213576, 2.0]","[0.5169708898679333, 1.0, 0.47240492208120405]","[-1.0558944214618609, 0.2250119183845938, -0.30908067959609786]","[1.5531834319550575, 0.6089378729225864, 0.0]","[0.0, 0.23599921712068248, 0.7793849759696545]"
1360,1360,0.1694703763159051,0.2706741858115268,0.1811858025543327,1.0,1.734760888210494,"[0.3479304694733891, 0.2218720251550912, -0.28332903334079274]","[1.6779697411546977, 0.23909362764925324, 1.4873173023668849]","[0.00885805489105318, 0.33628636801885237, 0.06380903147155403]","[-0.8706252498912534, 0.33302962255220453, -0.5929229323080848]","[1.8762313279546678, 1.089358421546419, 1.434379370561772]","[0.0, 0.8123141152832822, 0.013799353218044819]"
1361,1361,2.5976515101316977,1.120689290178229,0.9692535688593829,0.2733,0.47411015074792795,"[0.20993091482049772, 1.2495966579928877, 0.5858593044376352]","[0.5190590189966233, 1.9801037852525272, 1.436123205831762]","[1.0, 0.29750032443598684, 1.0]","[0.037033706723811344, -2.0, 0.7246677563021823]","[1.0180845125771112, 0.0, 1.6611160347464566]","[0.40210935339974907, 0.35030545816884273, 0.0]"
1362,1362,2.5976515101372937,1.1948954548200958,0.8952269223038125,0.2468,0.4281389872103499,"[0.32877255648551296, 0.2218720251550912, -0.27510299981398534]","[1.2006026154459395, 0.23909362764925324, 1.1833729831611728]","[0.3705459250286639, 0.27618856865825947, 0.27180714255771177]","[-0.8706252498912534, 1.0307834055622647, -0.10860863019601186]","[0.11693939060971151, 0.0, 1.339775451644404]","[0.0, 0.03177190972494076, 0.000845472553801789]"
1363,1363,2.3995488206464364,1.605785848584373,0.522473758876021,0.07,0.12143326217473459,"[0.12018754272308893, -0.08426888624646267, -0.26838943346745436]","[1.0723681862591328, 1.0187924442198575, 0.9978008355917998]","[0.3416676181403221, 0.6614629805065964, 0.6928604565180017]","[1.6797617505059987, 0.17057014315328045, 0.5419578974519101]","[1.769390826423377, 0.0, 1.5745714886405602]","[0.04422732639101323, 0.7360186233136847, 0.015501199678358057]"
1364,1364,1.1329126981284992,0.6612630093634825,0.618199515109621,0.6835,1.1857090670918726,"[0.21129243834311848, -1.772650696446318, -1.8713315174846206]","[0.11729129659274948, 1.1785397329353906, 0.0]","[0.6304510536698374, 0.0021818450289047275, 0.49126364276881895]","[-0.5277296762629393, -0.3437447465813315, 0.6102442314712635]","[1.9998520744604233, 0.0, 1.7897965933779276]","[0.4242397030712739, 0.9480395697384985, 0.07693804073535866]"
1365,1365,2.5976515101513993,1.1952139338797214,1.1073667107339946,0.2229,0.38667820198211905,"[-0.07818273003098763, 0.633190003727137, 0.7646383012590132]","[0.989687577558572, 1.944268447296432, 2.0]","[0.8059872462268098, 0.3256835857824942, 0.8727583974680324]","[0.18357337116136785, 0.3779247405373685, 0.5586842976727595]","[0.9657514106396823, 1.9243608747257397, 0.39494818736345916]","[0.8813501244877836, 0.0571834744899975, 0.019430162606479284]"
1366,1366,2.3593803479443527,1.5633998359328551,0.4289376478913672,0.0638,0.11067774466782951,"[0.11736370010246285, -0.8357929816981139, 0.3534853122785791]","[0.1421481294008411, 0.0, 0.34315540599841926]","[0.0, 0.0, 0.34656212175598977]","[1.465777058749461, -0.022151761355293953, -2.0]","[2.0, 0.0, 0.9409012299829943]","[0.34634252220523576, 0.9871475601604802, 0.0]"
1367,1367,2.597651510149268,1.1811119146393954,1.062693741432902,0.2366,0.4104444261506029,"[0.5597801606116062, -0.09512708185854901, 0.7491785771542544]","[2.0, 0.7968682823573638, 1.8178539489089665]","[0.44931004815909104, 0.21157369787588043, 0.5993703673630668]","[0.724322001238741, 0.266292242248542, 0.3355676115782277]","[1.4404611672863998, 0.636301294371087, 1.9641188925187887]","[0.10956458662320034, 1.0, 0.11232324921661682]"
1368,1368,2.5976512010316086,0.602476742072268,0.7056722774885213,0.5012,0.8694621571710995,"[0.24124992809500378, -0.9916599010209342, -1.8713315174846206]","[0.4906147840211814, 1.2060148147618148, 0.0]","[0.5685927041261346, 0.0, 0.8544991146023744]","[-0.5277296762629393, 0.3311631049769814, 0.5984275531404032]","[2.0, 1.0996474114471984, 1.8189927124027108]","[0.6825660912613885, 0.7828217953278434, 0.854484411685004]"
1369,1369,2.3697389851600943,1.6809314715153585,0.4068733353524429,0.05,0.0867380444105247,"[-0.11866048506521953, -0.061011853090357615, -0.27510299981398534]","[1.1158019802947574, 0.23909362764925324, 1.3229500927366835]","[0.3658962338586814, 0.26674624124851387, 0.9199363419345012]","[-1.6456974105263185, 0.41291877054958315, 1.336558479131476]","[0.11693939060971151, 0.0, 1.8814351631149755]","[0.0, 0.2017051132119233, 0.03823558307150765]"
1370,1370,2.59765151015442,1.6527428415394163,1.540634142870176,0.0602,0.10443260547027172,"[0.37523985214585975, -0.08426888624646267, -0.04094221334340231]","[0.8125857614172347, 0.7527868213832771, 0.2629811359518377]","[0.9972250488663843, 0.7767246456417364, 0.11735065991923899]","[0.04058357562797621, 0.17057014315328045, -0.010128713948267976]","[1.8169745676123321, 0.3897937966756295, 1.5419783036037935]","[0.6418137581365495, 0.9878915075819084, 0.625116226298096]"
1371,1371,2.432842524073092,0.8070438247302262,1.734760888210494,0.02,0.034695217764209876,"[-0.7188934484930799, 1.2215306418829806, 2.0]","[1.5638436355119678, 1.5949369387463224, 1.8871679811198427]","[0.0, 0.05910572696750524, 0.6766175213741975]","[-0.5901742446360356, -0.26038513694799015, -0.35048633167256593]","[0.841786060075967, 0.0, 0.9585725924940691]","[0.5838561997862556, 1.0, 0.8000845148195029]"
1372,1372,2.504239310766701,1.734760888210494,1.0221589425227184,0.0392,0.06800262681785135,"[0.04279431629827313, 1.9700318719628984, 0.0748025725454412]","[0.38001781031091864, 1.0187924442198575, 0.8446078811843369]","[0.6420297208189919, 0.6614629805065964, 0.6928604565180017]","[1.883221358523857, -0.8501471855636287, -1.4663265188185597]","[1.769390826423377, 0.0, 1.5745714886405602]","[0.04422732639101323, 0.9148886553774034, 0.0040400925689857425]"
1373,1373,2.597651510154414,1.452556338855043,1.6042239606254955,0.0833,0.14450558198793415,"[0.27279441153168904, -0.0699461627516148, 0.10436346257041107]","[0.6406644032386155, 1.991027947866119, 0.9665246787985944]","[0.6128795336202313, 0.0, 0.30392098012675317]","[-0.1405045543241461, 0.29931457837997133, -0.7863649379618374]","[1.5005507014835355, 0.4406952605256289, 1.902491545289242]","[0.16471953820181595, 0.4450164784198487, 0.20432775470749648]"
1374,1374,2.3260585864976715,1.5911598254700094,0.491211390322109,0.04,0.06939043552841975,"[0.8795299422119034, -0.9909228075389578, 0.7908916309496541]","[0.0, 1.9848077456454338, 2.0]","[0.451811484567488, 0.08392543631435578, 0.25331862360227586]","[2.0, 0.29630262315977607, -1.3139458567040112]","[0.8488516381638858, 0.0, 1.4969659563003233]","[0.2680786000757006, 0.9108083649764465, 0.0]"
1375,1375,2.316704227186825,0.3310392064987137,1.5968528996133349,0.05,0.0867380444105247,"[1.6391539058347733, 1.643328926485737, -1.1321359439900285]","[1.747171568337686, 0.0, 0.0]","[0.3181580284863227, 0.841748701288647, 0.9082796067270236]","[-0.3255233263753903, 0.5468735218250096, -0.37059321053740074]","[1.7522826516042929, 0.0, 2.0]","[0.9998204175140906, 0.14018620562937123, 0.335080704223218]"
1376,1376,2.4307451419412125,0.6697621251592608,1.6289487198474888,0.06,0.10408565329262963,"[0.5253076370523992, 1.898494262582152, 0.4004532997101698]","[0.0, 1.3860285548902318, 1.3736017549965152]","[0.9245448277155504, 0.02337600219474789, 0.013162433551420216]","[-0.5427717863622559, 0.288557815050586, 0.5498155482447049]","[1.9312331107630099, 0.6405492738523342, 1.4184030877783391]","[0.9973960965888858, 0.2029621087909379, 0.1315144445648007]"
1377,1377,2.597651510144569,1.101189820080288,1.0860868266014263,0.2521,0.4373332199178655,"[0.08697737759181692, -0.15915435287155605, 0.22219085734840255]","[1.1700545540210374, 1.3324753991966558, 0.26443060618418757]","[0.03218303599311745, 0.9575284168974867, 0.8911636374967674]","[0.30559287235057087, 0.4374381699854689, -0.3538378966208256]","[1.8399784222948035, 1.6605489998837288, 1.4553861323632844]","[0.9773854848014187, 1.0, 0.9673909093999289]"
1378,1378,2.5976512870821726,0.8042876751531186,0.5808371008295482,0.4737,0.821756232745311,"[-0.1305250051954609, 0.4501430137311022, 0.3271364019454279]","[1.262207633420634, 1.9448954986450333, 0.3371617009608834]","[0.5010899072581037, 0.19314135946791522, 0.30392098012675317]","[0.2502020432813002, 0.21229694914843086, 1.4574902984739184]","[1.8639671647143572, 1.9690278377023387, 0.7165171536277573]","[0.0, 0.8567336462466602, 0.0]"
1379,1379,2.5976515101508846,1.1025167508418046,1.181401962653804,0.2283,0.39604591077845575,"[0.27353594979150175, 1.9119052925880222, -1.8713315174846206]","[0.5011861651747678, 1.2060148147618148, 0.0]","[0.8714985478259091, 0.0, 0.37091752592673943]","[-0.5277296762629393, -1.6106779630490733, -0.2641773717396317]","[1.9420360789832565, 0.0, 1.5461117441247696]","[0.6825660912613885, 0.8898026190863257, 0.21087736040330185]"
1380,1380,2.493242543619276,0.9576534017616462,1.5683536098735178,0.0494,0.08569718787759839,"[1.5429310969547454, -0.697833786625667, -1.1321359439900285]","[1.6491660909060555, 0.0, 0.0]","[0.9892663583263936, 0.903762936538964, 0.987252630443154]","[-0.18577553000972502, -1.2043670648087899, -0.37059321053740074]","[1.350131725141088, 0.0, 1.7253026422098126]","[0.583083379336743, 0.6750484234612676, 0.0]"
1381,1381,2.5976515100726387,1.0315126972943809,0.9481202287902808,0.3043,0.5278877382824533,"[0.20543029501259458, -1.4719071857949255, 0.952896307042431]","[0.5994321198861373, 1.991027947866119, 1.7672698692845519]","[0.6836409701942036, 0.0, 0.31788271089399944]","[0.3146117251097264, -0.15759462324368545, -0.8458684822451276]","[0.33896947933282573, 1.946278005908095, 0.6824553433932417]","[0.08835214506815789, 0.4576619245234278, 0.0]"
1382,1382,2.3553942590273107,1.617016788934006,0.4090671683722703,0.05,0.0867380444105247,"[-0.3455165690346118, -0.5137125724150957, 0.13028287613928557]","[1.2230332482418125, 0.23696682592004525, 1.0623260554467595]","[0.47487395077224465, 0.0, 0.6703407216764491]","[1.4466147718136746, 1.0830501118460165, -0.25623349147619645]","[2.0, 0.0, 1.9143141666830323]","[0.10356469801963417, 0.339520740570714, 0.0]"
1383,1383,2.4622067899903186,1.489552165156283,0.8400028719052987,0.0555,0.09627922929568242,"[-0.4350082050248266, 1.1422404714422711, -0.11132428482572075]","[0.0, 0.5414049969022001, 1.8059417838391778]","[0.3069512030548641, 0.0, 0.7469257698779752]","[1.4730996846101463, 1.1929139368150032, -0.01301088279377921]","[1.971050400059705, 0.0, 1.2182675057273689]","[0.6863961624306187, 0.8712634860880294, 0.0]"
1384,1384,2.597651510154409,1.426315507231234,1.584278944676673,0.0907,0.1573428125606918,"[0.13902867577622452, 0.3318411593361117, 0.059784579236801465]","[0.9173658498211936, 1.0341309015898728, 0.6732419790851378]","[0.5576107514161593, 0.48467684075425954, 0.36031426052877313]","[0.18349474713344716, 0.25257381859500105, -0.6624794953591804]","[0.181796275336219, 1.8985868590056123, 1.5352850916436085]","[0.13445889112824905, 0.9376922647094202, 0.2944889755550323]"
1385,1385,2.497846185510933,0.9906253301652742,1.5291449864639035,0.05,0.0867380444105247,"[1.931148930030179, 2.0, 1.6825954997958743]","[1.7030772469246391, 1.2358805644631685, 2.0]","[0.007178161262134955, 0.12662500972931695, 0.9980254053194288]","[-0.03837201299636206, 0.4695377336153159, 0.3520116169938343]","[1.2807625606510726, 1.9831113522985635, 1.4340412938529883]","[0.5146133662745351, 0.4877860135083423, 0.14306761498860676]"
1386,1386,2.597651510154359,1.4203615381337655,1.3723228887362873,0.1302,0.22586586764500632,"[0.16956668275379772, 0.3352939245806309, -0.21031566686696457]","[1.7622414327368425, 1.0211623384275021, 1.2375364568418021]","[0.0, 0.196152295582515, 0.7205108971114117]","[0.07092253308622995, 0.22768628722013134, -0.3510906205384741]","[1.6137517109329722, 0.19213010288972066, 0.0]","[0.5422590383211845, 0.23158836278181633, 0.4432685490089211]"
1387,1387,2.3270704934505604,1.5295861292616937,0.2740673945520974,0.09,0.15612847993894444,"[-0.31287910574966205, 1.7265555125472996, 0.124989102873066]","[0.8669750901305557, 0.5905640625344684, 0.6005332873863138]","[0.02559936171165411, 0.0, 0.16611255371438205]","[1.4060259233600632, -0.6461793216885434, 0.4919044032037152]","[2.0, 0.0, 0.4048042952996034]","[0.12706873430855403, 0.8141519075876221, 0.0]"
1388,1388,2.468253383081594,1.591679295402986,0.8202326979037057,0.05,0.0867380444105247,"[-0.4154523984683891, -0.11487664829891298, -0.0852778449477731]","[1.2230332482418125, 0.0, 0.892028855068004]","[0.0, 0.3574673279437084, 0.33872203957768854]","[1.390788306815551, 0.17658060003828668, -1.7787337618609467]","[1.8826415386158855, 0.0, 0.7201186839421863]","[0.34360713718187386, 0.7741637277804574, 0.0]"
1389,1389,2.425807544768314,0.6010345351924377,1.734760888210494,0.05,0.0867380444105247,"[-0.040675422519998054, -1.9141715147983338, -1.4779345837364521]","[0.005561215035598532, 0.0, 1.242656025615469]","[0.0, 0.6321561402096556, 0.0008990166015959838]","[0.5029521768981216, -0.0919099881233687, -2.0]","[1.9295444986796895, 0.37564603080577186, 0.17933909989323438]","[0.0, 0.7697141479847603, 0.4043498681351414]"
1390,1390,2.3589835717360343,0.5952446692404546,1.571890079091229,0.0404,0.07008433988370395,"[0.9850656503267765, -0.07283979834401545, 1.9379758438713304]","[0.2102397045668162, 0.0, 1.3594806964529418]","[0.0, 0.28777095955064214, 1.0]","[0.24092743299533836, 1.9571868926401177, -0.2891176159853814]","[1.4228184446343426, 1.125180398683231, 2.0]","[0.020480066240410724, 0.0, 0.5532190740424782]"
1391,1391,2.3859102158600463,1.5366638733186784,0.4012577806147377,0.08,0.1387808710568395,"[1.1435675771006035, -1.3448199350839989, 0.5104775907509929]","[1.9480822407579863, 0.0, 0.2673095719043912]","[0.9095062263682933, 0.9377921154511671, 0.8869215301424774]","[-1.429206463986791, 0.998976444069055, -0.11813179940817337]","[0.5302018781881623, 0.0, 2.0]","[0.0, 0.9778707588650632, 0.01591875171678714]"
1392,1392,2.316704227183643,1.452279375044468,0.1734760888210492,0.1439,0.24963209181349008,"[0.11601053254627408, 0.2284424516549201, -0.27510299981398534]","[1.5254348717274013, 0.15449967962305644, 1.3614948871884356]","[0.3658962338586814, 0.21302552781069273, 0.6417815401165127]","[-1.835285994147951, 0.3838815768785011, -1.0534809583655662]","[0.11040469671022657, 0.0, 0.7591692788139786]","[0.0, 0.0914891239412906, 0.0]"
